Topic: http://dbpedia.org/resource/Category:Non-metropolitan_counties | Category: AdministrativeRegion | Count: 11 | Popularity: 84.1533
Topic: http://dbpedia.org/resource/Category:Regions_of_France | Category: AdministrativeRegion | Count: 25 | Popularity: 73.1822
Topic: http://dbpedia.org/resource/Category:Greek_regional_capitals | Category: AdministrativeRegion | Count: 11 | Popularity: 64.7748
Topic: http://dbpedia.org/resource/Category:NUTS_2_statistical_regions_of_the_European_Union | Category: AdministrativeRegion | Count: 25 | Popularity: 61.0297
Topic: http://dbpedia.org/resource/Category:Tourism_in_Greece | Category: AdministrativeRegion | Count: 16 | Popularity: 48.6053
Topic: http://dbpedia.org/resource/Category:Members_of_the_Unrepresented_Nations_and_Peoples_Organization | Category: AdministrativeRegion | Count: 8 | Popularity: 39.5406
Topic: http://dbpedia.org/resource/Category:Ancient_Greek_cities | Category: AdministrativeRegion | Count: 28 | Popularity: 34.0199
Topic: http://dbpedia.org/resource/Category:Autonomous_Turkic_states | Category: AdministrativeRegion | Count: 9 | Popularity: 31.3427
Topic: http://dbpedia.org/resource/Category:Kyushu_region | Category: AdministrativeRegion | Count: 8 | Popularity: 30.5853
Topic: http://dbpedia.org/resource/Category:Prefectures_of_Japan | Category: AdministrativeRegion | Count: 46 | Popularity: 29.169
Topic: http://dbpedia.org/resource/Category:Ch%C5%ABbu_region | Category: AdministrativeRegion | Count: 10 | Popularity: 28.5058
Topic: http://dbpedia.org/resource/Category:States_and_territories_established_in_1937 | Category: AdministrativeRegion | Count: 11 | Popularity: 25.6398
Topic: http://dbpedia.org/resource/Category:Professional_sports_leagues_in_the_United_States | Category: Agent | Count: 8 | Popularity: 207.201
Topic: http://dbpedia.org/resource/Category:Political_parties_in_the_United_States | Category: Agent | Count: 9 | Popularity: 197.727
Topic: http://dbpedia.org/resource/Category:National_statistical_services | Category: Agent | Count: 8 | Popularity: 181.406
Topic: http://dbpedia.org/resource/Category:Colonial_Colleges | Category: Agent | Count: 8 | Popularity: 180.964
Topic: http://dbpedia.org/resource/Category:Military_of_the_United_Kingdom | Category: Agent | Count: 9 | Popularity: 166.657
Topic: http://dbpedia.org/resource/Category:Organizations_based_in_Washington,_D.C. | Category: Agent | Count: 12 | Popularity: 164.885
Topic: http://dbpedia.org/resource/Category:Democratic_Party_Presidents_of_the_United_States | Category: Agent | Count: 15 | Popularity: 153.871
Topic: http://dbpedia.org/resource/Category:Companies_established_in_1927 | Category: Agent | Count: 9 | Popularity: 149.186
Topic: http://dbpedia.org/resource/Category:American_websites | Category: Agent | Count: 9 | Popularity: 148.292
Topic: http://dbpedia.org/resource/Category:Monarchs_of_the_United_Kingdom | Category: Agent | Count: 9 | Popularity: 144.033
Topic: http://dbpedia.org/resource/Category:Exempt_charities | Category: Agent | Count: 10 | Popularity: 136.203
Topic: http://dbpedia.org/resource/Category:IOS_software | Category: Agent | Count: 8 | Popularity: 130.766
Topic: http://dbpedia.org/resource/Category:Android_(operating_system)_software | Category: Agent | Count: 8 | Popularity: 130.766
Topic: http://dbpedia.org/resource/Category:Republican_Party_Presidents_of_the_United_States | Category: Agent | Count: 18 | Popularity: 126.052
Topic: http://dbpedia.org/resource/Category:Presidents_of_the_United_States | Category: Agent | Count: 43 | Popularity: 125.181
Topic: http://dbpedia.org/resource/Category:Association_of_American_Universities | Category: Agent | Count: 52 | Popularity: 110.938
Topic: http://dbpedia.org/resource/Category:Committee_on_Institutional_Cooperation | Category: Agent | Count: 13 | Popularity: 110.384
Topic: http://dbpedia.org/resource/Category:Harvard_University | Category: Agent | Count: 8 | Popularity: 108.305
Topic: http://dbpedia.org/resource/Category:Presidents_of_the_United_States_who_were_Freemasons | Category: Agent | Count: 14 | Popularity: 103.059
Topic: http://dbpedia.org/resource/Category:Princes_of_Andorra | Category: Agent | Count: 10 | Popularity: 102.811
Topic: http://dbpedia.org/resource/Category:Airbus_aircraft | Category: Aircraft | Count: 8 | Popularity: 26.0883
Topic: http://dbpedia.org/resource/Category:Boeing_aircraft | Category: Aircraft | Count: 28 | Popularity: 24.2373
Topic: http://dbpedia.org/resource/Category:Douglas_aircraft | Category: Aircraft | Count: 8 | Popularity: 19.4697
Topic: http://dbpedia.org/resource/Category:Articles_containing_video_clips | Category: Aircraft | Count: 25 | Popularity: 19.2757
Topic: http://dbpedia.org/resource/Category:United_States_fighter_aircraft_1940%E2%80%931949 | Category: Aircraft | Count: 9 | Popularity: 19.0976
Topic: http://dbpedia.org/resource/Category:McDonnell_Douglas_aircraft | Category: Aircraft | Count: 13 | Popularity: 18.5661
Topic: http://dbpedia.org/resource/Category:Four-engined_tractor_aircraft | Category: Aircraft | Count: 18 | Popularity: 18.3228
Topic: http://dbpedia.org/resource/Category:Air_refueling | Category: Aircraft | Count: 9 | Popularity: 18.0711
Topic: http://dbpedia.org/resource/Category:Lockheed_aircraft | Category: Aircraft | Count: 16 | Popularity: 17.0244
Topic: http://dbpedia.org/resource/Category:Quadjets | Category: Aircraft | Count: 29 | Popularity: 17.0176
Topic: http://dbpedia.org/resource/Category:Twinjets | Category: Aircraft | Count: 66 | Popularity: 16.7064
Topic: http://dbpedia.org/resource/Category:North_American_Aviation_aircraft | Category: Aircraft | Count: 8 | Popularity: 16.6223
Topic: http://dbpedia.org/resource/Category:Monoplanes | Category: Aircraft | Count: 27 | Popularity: 16.4391
Topic: http://dbpedia.org/resource/Category:United_States_fighter_aircraft_1950%E2%80%931959 | Category: Aircraft | Count: 10 | Popularity: 16.4253
