18 Dez 2015 | 17:49:40,727 | INFO  | New I/O worker #5 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 5, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:52186 }
18 Dez 2015 | 17:49:40,730 | INFO  | Scheduler1-thread-1 | bitswarm.sessions.DefaultSessionManager |     | Terminated idle logged-in session: { Id: 5, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:52186 }
18 Dez 2015 | 17:49:40,854 | INFO  | SFSWorker:Ext:4 | Extensions |     | {room}: Anzahl der Spieler im Raum nach Verlassen des Spielers: 1 
18 Dez 2015 | 17:49:40,908 | INFO  | New I/O worker #6 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 6, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:52192 }
18 Dez 2015 | 17:49:40,945 | INFO  | SFSWorker:Ext:4 | Extensions |     | {room}: Room was destroyed succesfully! 
18 Dez 2015 | 17:49:40,855 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User disconnected: { Zone: EduGame }, ( User Name: tkutschk, Id: 4, Priv: 0, Sess: 127.0.0.1:52186 ) , SessionLen: 11359098, Type: JavaScript
18 Dez 2015 | 17:49:40,963 | INFO  | SFSWorker:Ext:4 | entities.managers.SFSRoomManager |     | Room removed: { Zone: EduGame }, [ Room: Test, Id: 3, Group: default, isGame: true ], Duration: 11267301
18 Dez 2015 | 17:49:40,938 | INFO  | Scheduler1-thread-1 | bitswarm.sessions.DefaultSessionManager |     | Terminated idle logged-in session: { Id: 6, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:52192 }
18 Dez 2015 | 17:49:40,963 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: EduGame }, ( User Name: tkutschk1, Id: 5, Priv: 0, Sess: 127.0.0.1:52192 ) , SessionLen: 11332495, Type: JavaScript
