30 Jan 2016 | 07:16:12,024 | INFO  | New I/O worker #4 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 20, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:51723 }
30 Jan 2016 | 07:16:12,028 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: EduGame }, ( User Name: tkutschk, Id: 19, Priv: 0, Sess: 127.0.0.1:51723 ) , SessionLen: 1630777, Type: JavaScript
30 Jan 2016 | 07:16:12,071 | INFO  | SFSWorker:Ext:1 | entities.managers.SFSRoomManager |     | Room removed: { Zone: EduGame }, [ Room: Room166, Id: 11, Group: default, isGame: true ], Duration: 1618161
30 Jan 2016 | 07:16:15,705 | INFO  | New I/O worker #6 | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 22, Type: WEBSOCKET, Logged: No, IP: 127.0.0.1 } on Server port: 8888 <---> 52071
30 Jan 2016 | 07:16:15,742 | INFO  | SFSWorker:Ext:4 | v2.api.SFSApi |     | User login: { Zone: EduGame }, ( User Name: tkutschk, Id: 21, Priv: 0, Sess: 127.0.0.1:52071 ) , Type: JavaScript
30 Jan 2016 | 07:16:15,763 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | Room joined: [ Room: Lobby, Id: 0, Group: default, isGame: false ], { Zone: EduGame }, ( User Name: tkutschk, Id: 21, Priv: 0, Sess: 127.0.0.1:52071 ) , asSpect: false
30 Jan 2016 | 07:16:19,936 | INFO  | SFSWorker:Ext:3 | Extensions |     | {game}: Create new room. 
30 Jan 2016 | 07:16:19,945 | INFO  | SFSWorker:Ext:3 | Extensions |     | {room}: EduGame Extension: SinglePlayer started, rel. 1.0.5 
30 Jan 2016 | 07:16:19,962 | INFO  | SFSWorker:Ext:3 | entities.managers.SFSRoomManager |     | Room created: { Zone: EduGame }, [ Room: Room167, Id: 12, Group: default, isGame: true ]
30 Jan 2016 | 07:16:19,963 | INFO  | SFSWorker:Ext:3 | v2.api.SFSApi |     | Room joined: [ Room: Room167, Id: 12, Group: default, isGame: true ], { Zone: EduGame }, ( User Name: tkutschk, Id: 21, Priv: 0, Sess: 127.0.0.1:52071 ) , asSpect: false
30 Jan 2016 | 07:46:24,622 | INFO  | New I/O worker #5 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 21, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:51727 }
30 Jan 2016 | 07:46:24,624 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User disconnected: { Zone: EduGame }, ( User Name: tkutschk1, Id: 20, Priv: 0, Sess: 127.0.0.1:51727 ) , SessionLen: 3440660, Type: JavaScript
30 Jan 2016 | 07:50:24,461 | INFO  | New I/O worker #6 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 22, Type: WEBSOCKET, Logged: Yes, IP: 127.0.0.1:52071 }
30 Jan 2016 | 07:50:24,464 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: EduGame }, ( User Name: tkutschk, Id: 21, Priv: 0, Sess: 127.0.0.1:52071 ) , SessionLen: 2048721, Type: JavaScript
30 Jan 2016 | 07:50:24,511 | INFO  | SFSWorker:Ext:3 | entities.managers.SFSRoomManager |     | Room removed: { Zone: EduGame }, [ Room: Room167, Id: 12, Group: default, isGame: true ], Duration: 2044570
